s,p,o
пепероні,недолік,може бути надто жирним
гриби,недолік,можуть бути слизькими
моцарела,недолік,не завжди добре плавиться
моцарела,перевага,добре тягнеться
оливки,перевага,кислинка
пепероні,недолік,високий вміст жиру
ананас,перевага,свіжий смак
пепероні,перевага,додає гостроту
оливки,недолік,не всім подобаються
ананас,перевага,додає солодкість
гриби,перевага,додають текстуру
оливки,перевага,додають аромат
гриби,перевага,покращують смак
оливки,недолік,можуть бути занадто солоними
моцарела,перевага,додає кремовість
гриби,недолік,можуть бути не свіжими
моцарела,недолік,може бути жирною
ананас,недолік,може перебивати інші смаки
ананас,недолік,не всім подобається в піці
пепероні,перевага,насичений смак
